is_preflop,num_opponents,equity,pot_odds,stack_pot_ratio,bet_raise_available,check_call_available,action
1.0,3.0,0.245,0.375,26.066666666666666,1.0,1.0,4.0
1.0,1.0,0.505,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.29750000000000004,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.5125,0.25,12.7,1.0,1.0,4.0
1.0,5.0,0.24333333333333332,0.375,26.066666666666666,1.0,1.0,4.0
1.0,4.0,0.317,0.3684210526315789,27.194444444444443,1.0,1.0,4.0
1.0,2.0,0.38333333333333336,0.3333333333333333,24.375,1.0,1.0,4.0
1.0,1.0,0.46499999999999997,0.0,17.727272727272727,1.0,1.0,1.0
0.0,1.0,0.39749999999999996,0.0,17.727272727272727,1.0,1.0,1.0
0.0,1.0,0.5874999999999999,0.0,17.727272727272727,1.0,1.0,1.0
0.0,1.0,0.52,0.0,17.727272727272727,1.0,1.0,1.0
0.0,1.0,0.83,0.0,17.727272727272727,1.0,1.0,1.0
0.0,1.0,0.28,0.4,5.242424242424242,1.0,1.0,4.0
0.0,1.0,0.815,0.0,3.1454545454545455,1.0,1.0,1.0
1.0,4.0,0.261,0.375,26.066666666666666,1.0,1.0,4.0
1.0,4.0,0.269,0.39669421487603307,8.474885844748858,1.0,1.0,4.0
1.0,1.0,0.725,0.0,5.836477987421383,1.0,1.0,1.0
0.0,1.0,0.6875,0.0,5.836477987421383,1.0,1.0,1.0
0.0,1.0,0.8975,0.20446096654275092,4.079439252336448,1.0,1.0,4.0
1.0,2.0,0.3833333333333333,0.3333333333333333,24.375,1.0,1.0,4.0
1.0,1.0,0.53,0.0,17.727272727272727,1.0,1.0,1.0
0.0,1.0,0.7675,0.0,17.727272727272727,1.0,1.0,1.0
0.0,1.0,0.495,0.0,17.727272727272727,1.0,1.0,1.0
0.0,1.0,0.96,0.375,6.490909090909091,1.0,1.0,4.0
1.0,1.0,0.5575,0.25,32.666666666666664,1.0,1.0,4.0
1.0,1.0,0.52,0.0,24.5,1.0,1.0,1.0
0.0,1.0,0.55,0.25,16.0,1.0,1.0,4.0
1.0,4.0,0.483,0.375,26.066666666666666,1.0,1.0,4.0
1.0,3.0,0.3225,0.22580645161290322,16.291666666666668,1.0,1.0,2.0
0.0,1.0,0.815,0.0,16.291666666666668,1.0,1.0,1.0
0.0,1.0,0.61,0.0,16.291666666666668,1.0,1.0,1.0
0.0,1.0,0.885,0.25,10.527777777777779,1.0,1.0,4.0
0.0,1.0,0.6,0.25,4.930555555555555,1.0,1.0,4.0
0.0,1.0,0.84,0.0,3.6979166666666665,1.0,1.0,1.0
0.0,1.0,0.86,0.0,3.6979166666666665,1.0,1.0,1.0
0.0,1.0,0.6325,0.0,3.6979166666666665,1.0,1.0,1.0
1.0,2.0,0.43833333333333335,0.3333333333333333,24.375,1.0,1.0,4.0
1.0,1.0,0.47250000000000003,0.0,49.5,1.0,1.0,1.0
1.0,1.0,0.4,0.0,49.5,1.0,1.0,1.0
0.0,1.0,0.745,0.0,49.5,1.0,1.0,1.0
0.0,1.0,0.185,0.0,49.5,1.0,1.0,1.0
0.0,1.0,0.84,0.0,49.5,1.0,1.0,1.0
0.0,1.0,0.0975,0.0,49.5,1.0,1.0,1.0
0.0,1.0,0.87,0.3333333333333333,24.25,1.0,1.0,4.0
1.0,2.0,0.27,0.3333333333333333,24.375,1.0,1.0,4.0
1.0,2.0,0.41500000000000004,0.2,16.25,1.0,1.0,2.0
0.0,1.0,0.725,0.0,16.25,1.0,1.0,1.0
0.0,1.0,0.3875,0.25,10.5,1.0,1.0,4.0
0.0,1.0,0.7274999999999999,0.0,7.875,1.0,1.0,1.0
0.0,1.0,0.73,0.0,7.875,1.0,1.0,1.0
0.0,1.0,0.51,0.3333333333333333,3.4375,1.0,1.0,4.0
1.0,2.0,0.415,0.3181818181818182,26.066666666666666,1.0,1.0,4.0
1.0,2.0,0.33166666666666667,0.18518518518518517,17.772727272727273,1.0,1.0,2.0
1.0,2.0,0.36,0.0,14.481481481481481,1.0,1.0,1.0
0.0,2.0,0.215,0.0,14.481481481481481,1.0,1.0,1.0
0.0,2.0,0.23500000000000001,0.0,14.481481481481481,1.0,1.0,1.0
0.0,2.0,0.49333333333333335,0.29850746268656714,7.8936170212765955,1.0,1.0,4.0
1.0,5.0,0.2525,0.36363636363636365,28.0,1.0,1.0,4.0
1.0,4.0,0.225,0.39705882352941174,9.097560975609756,1.0,1.0,4.0
1.0,4.0,0.163,0.375,26.066666666666666,1.0,1.0,4.0
1.0,3.0,0.36124999999999996,0.22580645161290322,16.291666666666668,1.0,1.0,2.0
1.0,3.0,0.31124999999999997,0.3673469387755102,5.806451612903226,1.0,1.0,4.0
1.0,1.0,0.6425,0.0,3.870967741935484,1.0,1.0,1.0
0.0,1.0,0.49,0.21818181818181817,2.511627906976744,1.0,1.0,4.0
1.0,4.0,0.352,0.375,26.066666666666666,1.0,1.0,4.0
1.0,3.0,0.3575,0.22580645161290322,16.291666666666668,1.0,1.0,2.0
0.0,1.0,0.74,0.0,16.291666666666668,1.0,1.0,1.0
0.0,1.0,0.93,0.25,10.527777777777779,1.0,1.0,4.0
0.0,1.0,0.76,0.0,7.895833333333333,1.0,1.0,1.0
0.0,1.0,0.7875,0.0,7.895833333333333,1.0,1.0,1.0
0.0,1.0,0.965,0.3,4.083333333333333,1.0,1.0,4.0
0.0,1.0,0.815,0.0,2.8583333333333334,1.0,1.0,1.0
0.0,1.0,0.875,0.0,2.8583333333333334,1.0,1.0,1.0
0.0,1.0,0.9674999999999999,0.3333333333333333,0.9291666666666667,1.0,1.0,4.0
1.0,2.0,0.36333333333333334,0.3333333333333333,24.375,1.0,1.0,4.0
1.0,1.0,0.6375,0.37777777777777777,6.357142857142857,1.0,1.0,4.0
1.0,4.0,0.356,0.375,26.066666666666666,1.0,1.0,4.0
1.0,2.0,0.47833333333333333,0.39759036144578314,7.26,1.0,1.0,4.0
1.0,1.0,0.6174999999999999,0.25,2.769230769230769,1.0,1.0,4.0
1.0,1.0,0.5375,0.0,2.076923076923077,1.0,1.0,1.0
0.0,1.0,0.4825,0.0,2.076923076923077,1.0,1.0,1.0
0.0,1.0,0.6174999999999999,0.22535211267605634,1.1818181818181819,1.0,1.0,4.0
1.0,1.0,0.655,0.3333333333333333,24.25,1.0,1.0,4.0
1.0,1.0,0.515,0.0,16.166666666666668,1.0,1.0,1.0
0.0,1.0,0.485,0.0,16.166666666666668,1.0,1.0,1.0
0.0,1.0,0.5,0.0,16.166666666666668,1.0,1.0,1.0
0.0,1.0,0.3775,0.0,16.166666666666668,1.0,1.0,1.0
0.0,1.0,0.8,0.375,5.866666666666666,1.0,1.0,4.0
1.0,5.0,0.13833333333333334,0.2857142857142857,39.6,1.0,1.0,2.0
1.0,2.0,0.475,0.4444444444444444,5.8,1.0,1.0,4.0
1.0,1.0,0.68,0.3,27.857142857142858,1.0,1.0,4.0
1.0,2.0,0.34,0.3181818181818182,26.066666666666666,1.0,1.0,4.0
1.0,1.0,0.49,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.3975,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.4225,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.38749999999999996,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.455,0.3,10.742857142857142,1.0,1.0,4.0
1.0,5.0,0.26916666666666667,0.375,26.066666666666666,1.0,1.0,4.0
1.0,2.0,0.3416666666666667,0.3333333333333333,24.375,1.0,1.0,4.0
1.0,1.0,0.55,0.0,17.727272727272727,1.0,1.0,1.0
0.0,1.0,0.7324999999999999,0.0,17.727272727272727,1.0,1.0,1.0
0.0,1.0,0.5675,0.19444444444444445,13.206896551724139,1.0,1.0,4.0
0.0,1.0,0.6925,0.0,10.63888888888889,1.0,1.0,1.0
0.0,1.0,0.8,0.0,10.63888888888889,1.0,1.0,1.0
0.0,1.0,0.3625,0.3125,5.348484848484849,1.0,1.0,4.0
0.0,1.0,0.82,0.0,3.6770833333333335,1.0,1.0,1.0
0.0,1.0,0.76,0.0,3.6770833333333335,1.0,1.0,1.0
0.0,1.0,0.16,0.0,3.6770833333333335,1.0,1.0,1.0
1.0,3.0,0.25125,0.375,26.066666666666666,1.0,1.0,4.0
1.0,1.0,0.5475,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.465,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.3725,0.20588235294117646,14.222222222222221,1.0,1.0,4.0
0.0,1.0,0.485,0.0,11.294117647058824,1.0,1.0,1.0
0.0,1.0,0.56,0.0,11.294117647058824,1.0,1.0,1.0
0.0,1.0,0.385,0.0,11.294117647058824,1.0,1.0,1.0
0.0,1.0,0.88,0.2999058380414313,6.027572293207801,1.0,1.0,4.0
1.0,4.0,0.274,0.375,26.066666666666666,1.0,1.0,4.0
1.0,3.0,0.2225,0.22580645161290322,16.291666666666668,1.0,1.0,2.0
0.0,1.0,0.47500000000000003,0.0,16.291666666666668,1.0,1.0,1.0
0.0,1.0,0.48,0.0,16.291666666666668,1.0,1.0,1.0
0.0,1.0,0.47,0.0,16.291666666666668,1.0,1.0,1.0
0.0,1.0,0.5425,0.0,16.291666666666668,1.0,1.0,1.0
0.0,1.0,0.495,0.0,16.291666666666668,1.0,1.0,1.0
0.0,1.0,0.5025,0.0,16.291666666666668,1.0,1.0,1.0
1.0,2.0,0.36333333333333334,0.3181818181818182,26.066666666666666,1.0,1.0,4.0
1.0,1.0,0.4525,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.3575,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.955,0.3,10.742857142857142,1.0,1.0,4.0
1.0,4.0,0.456,0.375,26.066666666666666,1.0,1.0,4.0
1.0,4.0,0.333,0.2727272727272727,16.291666666666668,1.0,1.0,2.0
0.0,1.0,0.8,0.0,16.291666666666668,1.0,1.0,1.0
0.0,1.0,0.965,0.22727272727272727,11.205882352941176,1.0,1.0,4.0
0.0,1.0,0.835,0.0,8.659090909090908,1.0,1.0,1.0
0.0,1.0,0.83,0.0,8.659090909090908,1.0,1.0,1.0
0.0,1.0,0.965,0.3865979381443299,2.5714285714285716,1.0,1.0,4.0
0.0,1.0,0.815,0.0,1.577319587628866,1.0,1.0,1.0
0.0,1.0,0.83,0.0,1.577319587628866,1.0,1.0,1.0
0.0,1.0,1.0,0.3142331852305807,0.3963360142984808,1.0,1.0,4.0
0.0,1.0,0.875,0.0,0.27179408610387623,1.0,1.0,1.0
1.0,2.0,0.43333333333333335,0.3181818181818182,26.066666666666666,1.0,1.0,4.0
1.0,1.0,0.4375,0.39361702127659576,6.2105263157894735,1.0,1.0,4.0
1.0,2.0,0.36,0.3333333333333333,24.375,1.0,1.0,4.0
1.0,2.0,0.4633333333333333,0.4117647058823529,5.9,1.0,1.0,4.0
1.0,3.0,0.38625,0.375,26.066666666666666,1.0,1.0,4.0
1.0,1.0,0.52,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.335,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.4575,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.6074999999999999,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.5525,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.765,0.2222222222222222,13.678571428571429,1.0,1.0,4.0
0.0,1.0,0.56,0.0,10.63888888888889,1.0,1.0,1.0
1.0,2.0,0.49833333333333335,0.3333333333333333,24.375,1.0,1.0,4.0
1.0,2.0,0.62,0.40816326530612246,6.137931034482759,1.0,1.0,4.0
1.0,1.0,0.675,0.0,3.869565217391304,1.0,1.0,1.0
0.0,1.0,0.8224999999999999,0.23255813953488372,2.393939393939394,1.0,1.0,4.0
0.0,1.0,0.535,0.0,1.8372093023255813,1.0,1.0,1.0
0.0,1.0,0.79,0.0,1.8372093023255813,1.0,1.0,1.0
0.0,1.0,0.4175,0.0,1.8372093023255813,1.0,1.0,1.0
0.0,1.0,0.775,0.0,1.8372093023255813,1.0,1.0,1.0
0.0,1.0,0.33,0.29906542056074764,0.6266666666666667,1.0,1.0,4.0
0.0,1.0,0.76,0.0,0.4392523364485981,1.0,1.0,1.0
